tool_name,expert_owner,expert_observation_or_write,expert_notes
AgentUserInterface__get_all_messages,,,
AgentUserInterface__get_last_message_from_agent,,,
AgentUserInterface__get_last_message_from_user,,,
AgentUserInterface__get_last_unread_messages,,,
AgentUserInterface__send_message_to_user,,,
FarmWorldApp__apply_fertigation,,,
FarmWorldApp__commit_daily_physics,,,
FarmWorldApp__dry_grain,,,
FarmWorldApp__get_farm_overview,,,
FarmWorldApp__get_inventory,,,
FarmWorldApp__get_ridge_range_state,,,
FarmWorldApp__get_ridge_state,,,
FarmWorldApp__store_grain,,,
FieldOpsApp__apply_pesticide_manual,,,
FieldOpsApp__get_irrigation_log,,,
FieldOpsApp__irrigate,,,
FieldOpsApp__irrigate_range,,,
FieldOpsApp__irrigate_ridge,,,
Matrice4T__charge,,,
Matrice4T__check_status,,,
Matrice4T__fly_survey,,,
Mavic3M__charge,,,
Mavic3M__check_status,,,
Mavic3M__fly_survey,,,
Robot0__charge,,,
Robot0__check_status,,,
Robot0__inspect_crop_health,,,
Robot0__inspect_emergence,,,
Robot0__inspect_pests,,,
Robot0__inspect_ridge,,,
SensorApp__read_canopy_sensor,,,
SensorApp__read_canopy_sensors,,,
SensorApp__read_soil_sensor,,,
SensorApp__read_soil_sensors,,,
SystemApp__advance_time,,,
SystemApp__get_current_time,,,
SystemApp__wait_for_notification,,,
TractorApp__apply_fertilizer,,,
TractorApp__apply_fungicide,,,
TractorApp__apply_herbicide,,,
TractorApp__apply_pesticide,,,
TractorApp__attach_implement,,,
TractorApp__base_fertilize,,,
TractorApp__detach_implement,,,
TractorApp__form_ridges,,,
TractorApp__get_status,,,
TractorApp__harvest,,,
TractorApp__incorporate_residue,,,
TractorApp__level,,,
TractorApp__load_fertilizer,,,
TractorApp__load_fungicide,,,
TractorApp__load_pesticide,,,
TractorApp__load_seeds,,,
TractorApp__mechanical_weed_control,,,
TractorApp__plant_seeds,,,
TractorApp__refill_pesticide_tank,,,
TractorApp__refuel,,,
TractorApp__replant_seeds,,,
TractorApp__spray_pesticide,,,
TractorApp__unload_grain,,,
WeatherApp__get_current_weather,,,
WeatherApp__get_forecast,,,
